Year,Month,Day,DNI Mean,DNI Max,DNI Min,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temp Max,Temp Min,Temperature,Pressure,Power Consumption,Weekday,University Name,Building Name,Square Feet,Type
2019,8,6,623.3571428571429,936,35,2.8428571428571425,1.4714285714285704,258.67857142857144,61.779285714285734,24.3,13.9,20.321428571428573,993.2142857142857,833.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,7,649.1428571428571,951,50,4.489285714285715,1.3999999999999992,270.89285714285717,64.58928571428574,21.5,13.2,18.560714285714283,994.3571428571429,866.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,8,661.4642857142857,940,86,4.578571428571427,1.3607142857142855,266.4642857142857,68.27571428571427,20.4,13.3,18.17857142857143,995.1428571428571,778.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,9,516.7857142857143,913,2,3.15,2.5714285714285725,266.92857142857144,62.91285714285714,24.0,14.3,20.55,994.4285714285714,826.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,10,593.5357142857143,883,72,3.032142857142857,2.0571428571428574,265.5357142857143,64.88714285714285,23.3,15.3,20.71428571428571,995.8928571428571,867.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,11,734.6071428571429,942,44,2.4857142857142867,1.7071428571428577,294.60714285714283,51.33571428571429,27.7,14.0,23.124999999999993,996.4642857142857,872.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,12,756.6428571428571,941,92,2.271428571428572,1.4035714285714287,271.7142857142857,47.58892857142856,28.5,15.1,24.210714285714282,995.0357142857143,884.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,13,760.6428571428571,958,41,1.7285714285714282,1.1750000000000003,248.78571428571428,44.47500000000001,30.0,15.3,25.203571428571426,994.8214285714286,865.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,14,759.75,957,71,1.625,1.1785714285714282,251.71428571428572,38.743928571428576,32.9,16.6,27.521428571428572,994.6428571428571,893.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,15,751.1428571428571,950,50,1.7750000000000001,1.2464285714285714,228.42857142857142,38.79607142857144,32.7,17.5,27.814285714285717,992.8214285714286,856.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,16,739.9285714285714,963,25,2.164285714285715,1.1535714285714287,251.0,43.459642857142846,29.9,16.8,24.885714285714283,990.4285714285714,833.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,17,597.1428571428571,925,27,3.1250000000000004,1.6107142857142853,243.57142857142858,69.06964285714285,23.3,14.9,20.089285714285715,990.0714285714286,881.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,18,620.1071428571429,942,7,2.7928571428571423,1.4035714285714282,236.5,66.78892857142858,23.4,14.3,19.985714285714288,992.0357142857143,892.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,19,313.75,878,3,3.1041666666666665,1.4541666666666664,251.75,63.845,22.4,15.1,19.708333333333336,995.1666666666666,896.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,20,526.8461538461538,946,3,3.588461538461538,1.25,270.11538461538464,60.97346153846154,22.7,14.7,20.01923076923077,996.3076923076923,903.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,21,645.4285714285714,910,9,2.978571428571428,2.3464285714285715,274.7857142857143,56.85714285714285,27.7,14.4,22.914285714285718,994.0,907.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,22,646.2142857142857,915,7,2.414285714285714,2.0142857142857142,291.75,53.00678571428572,30.3,17.1,25.482142857142858,988.2857142857143,860.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,23,497.0,908,12,2.4759999999999995,1.9760000000000002,232.44,60.1108,26.3,15.0,22.344,989.44,851.0,1,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,24,537.2307692307693,894,1,2.6692307692307695,2.2038461538461545,254.46153846153845,54.653846153846175,25.1,14.5,21.676923076923075,993.7307692307693,891.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
2019,8,25,698.7307692307693,942,3,2.5000000000000004,1.8000000000000007,251.42307692307693,48.944615384615375,27.3,15.9,23.52307692307692,995.1538461538462,887.0,0,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
