,UMASS Amherst - Computer Science null,UMASS Amherst - Fine Arts Center null,UMASS Amherst - Recreation Center null,Day,Month,Year,Date,DHI,DNI Max,DNI Min,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
95,,,,,,,,148.23076923076925,832,44,478.07692307692315,461.0,115.84615384615385,609.6153846153846,496.6923076923077,0.1,2.2296153846153848,228.4923076923077,68.56461538461541,20.76923076923077,1000.0
96,,,,,,,,143.14285714285714,651,2,261.42857142857144,246.28571428571428,134.71428571428572,624.0,466.4285714285714,0.1,1.8467142857142864,268.7,85.41,14.0,1000.0
97,,,,,,,,164.08333333333334,937,22,434.08333333333326,483.0,111.5,741.6666666666665,576.5,0.16666666666666666,0.9383333333333336,315.23333333333335,62.65416666666666,9.083333333333334,1010.0
98,,,,,,,,92.83333333333331,954,483,811.25,595.1666666666666,92.83333333333331,811.25,595.1666666666666,0.14166666666666666,0.6570833333333334,338.5833333333333,47.80916666666667,12.333333333333336,1010.0
99,,,,,,,,161.54545454545453,851,81,545.2727272727273,530.4545454545455,130.9090909090909,672.9090909090909,575.9090909090909,0.15454545454545454,1.5443636363636366,207.93636363636367,65.72636363636364,12.454545454545455,1005.4545454545456
100,,,,,,,,179.61538461538458,828,15,405.5384615384616,406.6153846153846,117.53846153846152,621.3846153846154,513.4615384615385,0.1,2.6309230769230774,241.76153846153846,73.59923076923077,21.23076923076923,990.0
101,,,,,,,,191.9230769230769,828,92,423.76923076923083,449.23076923076917,101.69230769230771,706.2307692307692,544.0,0.1,1.3268461538461538,289.55384615384617,70.90307692307694,14.769230769230768,992.3076923076924
102,,,,,,,,90.30769230769229,951,195,766.0769230769231,564.8461538461537,90.30769230769229,766.0769230769231,564.8461538461537,0.053846153846153835,0.732923076923077,209.11538461538458,55.17230769230768,10.0,1010.0
103,,,,,,,,227.41666666666663,713,24,254.33333333333331,371.5,160.83333333333334,599.0,553.0,0.075,1.916666666666667,170.82500000000005,76.05416666666666,7.833333333333332,1010.0
104,,,,,,,,235.16666666666663,772,9,284.0833333333333,433.25,156.75,608.5833333333334,565.25,0.008333333333333333,1.97625,94.93333333333332,74.65166666666667,14.083333333333336,1000.0
105,,,,,,,,174.25,23,3,9.75,180.25,190.75,676.0,709.0,0.0,1.82425,106.175,97.4175,8.5,992.5
106,,,,,,,,227.6,444,3,80.6,275.6,138.5,728.9,638.2,0.0,2.0327,209.27,81.242,10.1,990.0
107,,,,,,,,83.53846153846153,966,304,804.0769230769231,586.6153846153846,83.53846153846153,804.0769230769231,586.6153846153846,0.007692307692307694,0.760153846153846,292.7615384615385,56.07384615384615,13.538461538461537,1000.0
108,,,,,,,,192.7692307692308,776,185,518.4615384615385,493.92307692307685,102.3846153846154,732.6153846153846,572.6153846153846,0.0,1.0642307692307689,199.6307692307692,57.0676923076923,16.692307692307693,1000.0
109,,,,,,,,226.0,25,1,11.833333333333336,235.33333333333331,147.16666666666666,772.6666666666665,742.5,0.08333333333333333,2.9508333333333336,72.21666666666665,91.33833333333332,10.166666666666666,1000.0
110,,,,,,,,220.5,86,3,31.75,239.25,123.375,703.25,603.625,0.0,3.314125,65.15,90.31,16.25,990.0
111,,,,,,,,219.3636363636364,270,7,94.0,260.09090909090907,124.54545454545456,649.0,563.0,0.0,2.851454545454545,138.72727272727272,80.4827272727273,18.09090909090909,990.0
112,,,,,,,,168.8181818181818,866,58,587.0,581.1818181818181,122.36363636363636,757.2727272727273,641.7272727272727,0.0,1.9700909090909091,256.3454545454546,67.01,22.0,1000.0
113,,,,,,,,252.83333333333331,566,15,255.5,419.41666666666674,116.83333333333331,664.8333333333334,560.0833333333334,0.016666666666666666,2.5235000000000003,263.3666666666666,71.63916666666667,19.58333333333333,995.0
114,,,,,,,,133.72727272727272,731,2,259.90909090909093,268.3636363636364,139.27272727272728,503.9090909090909,455.6363636363636,0.0,2.8098181818181818,73.2090909090909,66.61818181818182,11.636363636363635,1003.6363636363636
115,,,,,,,,232.88888888888889,386,8,79.55555555555556,265.5555555555556,161.33333333333334,588.6666666666666,592.5555555555555,0.0,3.1587777777777784,143.81111111111107,87.56666666666666,13.555555555555555,994.4444444444445
116,,,,,,,,238.55555555555557,694,3,240.22222222222226,362.77777777777777,163.88888888888889,688.2222222222223,645.8888888888888,0.022222222222222227,2.202,257.1,78.9733333333333,18.222222222222218,980.0
117,,,,,,,,185.2142857142857,859,8,390.8571428571428,395.78571428571433,106.64285714285714,711.3571428571429,554.0714285714286,0.05,1.3024285714285713,282.98571428571427,64.24857142857145,11.357142857142858,992.1428571428572
118,,,,,,,,161.30769230769232,912,3,532.3076923076924,527.0,107.23076923076924,762.8461538461537,603.5384615384615,0.0,1.1683076923076925,174.04615384615383,51.85307692307693,13.153846153846152,1003.0769230769232
119,,,,,,,,181.33333333333331,7,6,6.333333333333332,187.0,232.0,706.6666666666665,855.3333333333335,0.10000000000000002,3.220333333333333,100.3,94.36333333333332,10.0,990.0
